Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2551016,134.38,0.00
2551728,134.65,0.00
2552402,134.82,0.00
2553079,134.91,0.00
2553752,135.18,0.00
2554423,135.26,0.00
2555100,135.44,0.00
2555772,135.62,0.00
2556442,135.88,0.00
2557139,136.05,0.00
2557816,136.14,0.00
2558499,136.14,0.00
2559179,136.05,0.00
2559856,135.88,0.00
2560533,135.53,0.00
2561216,135.18,0.00
2561897,134.74,0.00
2562580,134.21,0.00
2563257,133.77,0.00
2563934,133.33,0.00
2564619,132.89,0.00
2565296,132.54,0.00
2565973,132.19,0.00
2566666,131.84,0.00
2567348,131.48,0.00
2568043,131.04,0.00
2568719,130.69,0.00
2569396,130.25,0.00
2570079,129.73,0.00
2570752,129.02,0.00
2571422,128.50,0.00
2572099,127.79,0.00
2572771,127.18,0.00
2573442,126.39,0.00
2574125,125.68,0.00
2574803,125.16,0.00
2575486,124.54,0.00
2576163,123.93,0.00
2576833,123.49,0.00
2577504,122.96,0.00
2578183,122.43,0.00
2578868,121.90,0.00
2579544,121.29,0.00
2580221,120.76,0.00
2580904,120.06,0.00
2581581,119.27,0.00
2582270,118.65,0.00
2582956,117.95,0.00
2583639,117.16,0.00
2584317,116.54,0.00
2585000,115.93,0.00
2585689,115.31,0.00
2586372,114.79,0.00
2587056,114.17,0.00
2587727,113.73,0.00
2588405,113.29,0.00
2589082,112.68,0.00
2589760,112.06,0.00
2590447,111.45,0.00
2591142,110.74,0.00
2591823,109.95,0.00
2592506,109.34,0.00
2593183,108.72,0.00
2593874,108.02,0.00
2594547,107.40,0.00
2595224,106.79,0.00
2595907,106.26,0.00
2596585,105.82,0.00
2597274,105.29,0.00
2597956,104.77,0.00
2598640,104.41,0.00
2599323,103.89,0.00
2600021,103.27,0.00
2600698,102.74,0.00
2601381,102.13,0.00
2602065,101.51,0.00
2602745,100.99,0.00
2603421,100.37,0.00
2604110,99.84,0.00
2604793,99.40,0.00
2605480,98.88,0.00
2606167,98.44,0.00
2606844,98.17,0.00
2607531,97.82,0.00
2608214,97.47,0.00
2608897,97.29,0.00
2609573,96.94,0.00
2610256,96.59,0.00
2610938,96.24,0.00
2611621,95.89,0.00
2612294,95.45,0.00
2612971,95.19,0.00
2613659,94.75,0.00
2614341,94.57,0.00
2615035,94.39,0.00
2615711,94.31,0.00
2616394,94.22,0.00
2617088,94.31,0.00
2617765,94.39,0.00
2618453,94.57,0.00
2619147,94.66,0.00
2619829,94.75,0.00
2620516,94.92,0.00
2621187,95.10,0.00
2621870,95.27,0.00
2622546,95.45,0.00
2623228,95.71,0.00
2623916,96.06,0.00
2624603,96.59,0.00
2625288,97.21,0.00
2625971,97.82,0.00
2626662,98.79,0.00
2627339,99.76,0.00
2628031,100.63,0.00
2628708,101.69,0.00
2629392,102.74,0.00
2630069,103.71,0.00
2630750,104.68,0.00
2631426,105.73,0.00
2632109,106.70,0.00
2632790,107.67,0.00
2633483,108.72,0.00
2634164,109.78,0.00
2634841,111.18,0.00
2635528,112.59,0.00
2636211,113.82,0.00
2636900,115.40,0.00
2637587,117.07,0.00
2638275,118.65,0.00
2638963,119.88,0.00
2639648,121.29,0.00
2640325,122.61,0.00
2641015,123.57,0.00
2641698,124.54,0.00
2642387,125.51,0.00
2643065,126.39,0.00
2643743,127.18,0.00
2644421,128.06,0.00
2645104,128.85,0.00
2645782,129.81,0.00
2646465,130.69,0.00
2647155,131.48,0.00
2647832,132.36,0.00
2648516,133.07,0.00
2649186,133.59,0.00
2649876,134.12,0.00
2650553,134.38,0.00
2651230,134.65,0.00
2651913,134.82,0.00
2652596,134.91,0.00
2653279,135.00,0.00
2653961,135.09,0.00
2654649,135.26,0.00
2655327,135.44,0.00
2656003,135.62,0.00
2656687,135.70,0.00
2657364,135.88,0.00
2658047,135.97,0.00
2658718,135.88,0.00
2659403,135.70,0.00
2660092,135.44,0.00
2660770,135.18,0.00
2661453,134.74,0.00
2662147,134.21,0.00
2662830,133.77,0.00
2663518,133.33,0.00
2664208,132.80,0.00
2664893,132.28,0.00
2665563,132.01,0.00
2666248,131.66,0.00
2666924,131.31,0.00
2667607,130.87,0.00
2668290,130.43,0.00
2668973,129.99,0.00
2669661,129.55,0.00
2670339,128.94,0.00
2671034,128.23,0.00
2671711,127.62,0.00
2672401,126.91,0.00
2673088,126.12,0.00
2673768,125.51,0.00
2674457,124.89,0.00
2675147,124.19,0.00
2675830,123.57,0.00
2676513,123.05,0.00
2677189,122.52,0.00
2677874,121.99,0.00
2678554,121.46,0.00
2679232,120.85,0.00
2679918,120.32,0.00
2680601,119.62,0.00
2681284,118.83,0.00
2681966,118.12,0.00
2682655,117.51,0.00
2683333,116.72,0.00
2684015,116.02,0.00
2684693,115.49,0.00
2685378,114.79,0.00
2686061,114.26,0.00
2686732,113.73,0.00
2687417,113.20,0.00
2688105,112.76,0.00
2688788,112.15,0.00
2689477,111.53,0.00
2690161,111.01,0.00
2690844,110.30,0.00
2691529,109.51,0.00
2692218,108.81,0.00
2692899,108.19,0.00
2693576,107.49,0.00
2694263,106.79,0.00
2694950,106.26,0.00
2695638,105.64,0.00
