Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2278016,164.53,0.00
2278728,166.55,0.00
2279403,169.19,0.00
2280080,171.12,0.00
2280764,172.71,0.00
2281447,174.11,0.00
2282141,175.43,0.00
2282819,176.31,0.00
2283507,177.63,0.00
2284181,178.95,0.00
2284872,179.74,0.00
2285553,180.53,0.00
2286236,181.23,0.00
2286919,181.93,0.00
2287603,182.55,0.00
2288286,182.99,0.00
2288969,183.43,0.00
2289655,183.96,0.00
2290332,184.39,0.00
2291027,184.75,0.00
2291715,185.19,0.00
2292403,185.54,0.00
2293098,185.89,0.00
2293786,186.15,0.00
2294475,186.42,0.00
2295155,186.77,0.00
2295832,187.12,0.00
2296519,187.38,0.00
2297190,187.82,0.00
2297875,188.17,0.00
2298552,188.61,0.00
2299235,189.14,0.00
2299912,189.67,0.00
2300600,190.28,0.00
2301284,191.07,0.00
2301971,191.87,0.00
2302654,192.83,0.00
2303332,193.97,0.00
2304026,195.03,0.00
2304714,196.52,0.00
2305402,198.28,0.00
2306091,200.13,0.00
2306774,201.88,0.00
2307452,204.35,0.00
2308141,207.16,0.00
2308823,209.88,0.00
2309506,213.75,0.00
2310177,218.32,0.00
2310868,224.56,0.00
2311551,233.00,0.00
2312228,243.54,0.00
2312905,261.83,0.00
2313588,284.24,0.00
2314271,303.57,0.00
2314954,322.21,0.00
2315637,335.83,0.00
2316314,343.39,0.00
2317006,348.84,0.00
2317699,352.27,0.00
2318380,354.81,0.00
2319069,356.40,0.00
2319751,357.54,0.00
2320434,358.42,0.00
2321132,359.03,0.00
2321809,359.65,0.00
2322495,0.09,0.00
2323177,0.44,0.00
2323859,0.97,0.00
2324538,1.49,0.00
2325207,1.85,0.00
2325889,2.29,0.00
2326571,2.90,0.00
2327246,3.52,0.00
2327934,4.22,0.00
2328613,4.92,0.00
2329292,5.98,0.00
2329972,7.12,0.00
2330648,7.91,0.00
2331325,9.23,0.00
2332018,11.25,0.00
2332705,13.71,0.00
2333387,15.56,0.00
2334070,17.93,0.00
2334763,21.62,0.00
2335451,24.70,0.00
2336137,27.16,0.00
2336816,30.32,0.00
2337504,33.66,0.00
2338180,35.86,0.00
2338869,37.97,0.00
2339539,40.34,0.00
2340210,43.68,0.00
2340894,45.79,0.00
2341576,45.88,0.00
2342253,47.02,0.00
2342940,48.87,0.00
2343628,48.87,0.00
2344316,49.13,0.00
2345003,49.92,0.00
2345692,50.98,0.00
2346380,50.89,0.00
2347068,51.94,0.00
2347750,52.56,0.00
2348433,53.09,0.00
2349126,53.61,0.00
2349802,54.58,0.00
2350488,54.84,0.00
2351165,55.63,0.00
2351846,56.51,0.00
2352523,56.43,0.00
2353193,56.69,0.00
2353883,57.83,0.00
2354571,58.89,0.00
2355246,60.82,0.00
2355934,61.61,0.00
2356610,63.28,0.00
2357294,64.42,0.00
2357976,66.71,0.00
2358668,68.47,0.00
2359359,69.26,0.00
2360047,70.66,0.00
2360729,72.86,0.00
2361409,75.41,0.00
2362097,78.66,0.00
2362773,81.21,0.00
2363456,86.31,0.00
2364138,91.05,0.00
2364820,94.66,0.00
2365505,98.88,0.00
2366181,105.64,0.00
2366871,111.18,0.00
2367545,116.37,0.00
2368231,120.67,0.00
2368907,125.33,0.00
2369590,132.36,0.00
2370273,139.39,621.83
2370968,143.53,621.83
2371654,147.74,621.83
2372336,151.35,621.83
2373023,154.60,621.83
2373704,159.17,621.83
2374396,162.86,621.83
2375093,165.23,621.83
2375779,167.26,621.83
2376461,169.72,621.83
2377147,171.83,621.83
2377828,172.71,621.83
2378515,174.11,621.83
2379189,175.61,621.83
2379877,176.84,621.83
2380570,178.07,621.83
2381250,179.12,621.83
2381932,179.82,621.83
2382623,180.44,621.83
2383310,181.23,621.83
2384001,182.02,621.83
2384693,182.46,621.83
2385384,182.99,621.83
2386076,183.60,621.83
2386768,184.13,621.83
2387452,184.48,621.83
2388150,184.83,621.83
2388832,185.27,621.83
2389523,185.62,621.83
2390203,185.89,621.83
2390892,186.15,621.83
2391578,186.50,621.83
2392257,186.86,621.83
2392946,187.12,621.83
2393632,187.47,621.83
2394325,187.82,621.83
2395021,188.26,621.83
2395713,188.70,621.83
2396396,189.23,621.83
2397088,189.93,621.83
2397774,190.63,621.83
2398454,191.34,621.83
2399147,192.30,621.83
2399827,193.18,621.83
2400515,194.33,621.83
2401195,195.64,621.83
2401888,196.96,621.83
2402579,198.72,621.83
2403260,200.65,621.83
2403942,202.50,621.83
2404634,205.14,621.83
2405321,207.95,621.83
2406023,211.29,621.83
2406704,215.07,621.83
2407393,220.69,621.83
2408085,227.46,621.83
2408777,237.48,621.83
2409464,250.49,621.83
2410155,271.14,621.83
2410836,294.08,621.83
2411526,312.01,621.83
2412200,328.45,621.83
2412883,339.70,621.83
2413571,345.85,621.83
2414247,350.33,621.83
2414928,353.41,621.83
2415614,355.69,621.83
2416304,357.01,621.83
2416991,357.98,621.83
2417676,358.77,621.83
2418370,359.38,621.83
2419051,359.91,621.83
2419745,0.35,621.83
2420421,0.70,621.83
2421117,1.23,621.83
2421803,1.67,621.83
2422488,2.11,621.83
2423167,2.64,621.83
2423852,3.34,621.83
2424530,3.87,621.83
2425203,4.39,621.83
2425889,5.45,621.83
2426581,6.77,621.83
2427266,7.65,621.83
2427951,8.79,621.83
2428637,10.63,621.83
2429322,12.66,621.83
2430013,14.85,621.83
2430693,16.79,621.83
2431388,19.60,621.83
2432084,22.50,621.83
2432775,25.66,621.83
2433461,29.18,621.83
2434146,33.75,621.83
2434827,36.21,621.83
2435512,37.18,621.83
2436191,38.85,621.83
2436884,41.48,621.83
2437575,43.68,621.83
2438256,44.21,621.83
2438936,45.44,621.83
2439614,47.64,621.83
2440300,48.25,621.83
2440979,47.99,621.83
2441666,49.13,621.83
2442346,50.45,621.83
2443035,51.24,621.83
2443715,51.68,621.83
2444401,53.00,621.83
2445092,53.09,621.83
2445782,52.73,621.83
2446468,52.56,621.83
2447153,54.23,621.83
2447839,56.34,621.83
2448530,55.37,621.83
2449209,56.16,621.83
2449890,57.92,621.83
2450573,58.27,621.83
2451254,58.97,621.83
2451945,59.15,621.83
2452631,60.47,621.83
2453322,62.40,621.83
2454019,63.54,621.83
2454708,65.13,621.83
2455394,66.97,621.83
2456086,69.08,621.83
2456771,70.14,621.83
2457457,71.98,621.83
2458154,76.99,621.83
2458840,79.37,621.83
2459523,81.21,621.83
2460192,83.67,621.83
2460882,88.95,621.83
2461573,92.37,621.83
2462252,98.17,621.83
2462938,104.50,621.83
2463634,110.57,621.83
2464321,114.43,621.83
2465013,119.53,621.83
2465699,126.30,621.83
2466391,132.01,621.83
2467089,137.64,619.73
2467779,143.09,619.73
2468458,147.57,619.73
2469157,151.70,619.73
2469837,154.51,619.73
2470526,158.29,619.73
2471199,162.51,619.73
2471895,164.97,619.73
2472579,167.43,619.73
2473264,169.28,619.73
2473957,170.86,619.73
2474641,172.88,619.73
2475322,174.11,619.73
2476024,175.52,619.73
2476705,176.57,619.73
2477395,177.63,619.73
2478082,178.77,619.73
2478769,179.65,619.73
2479451,180.53,619.73
2480149,181.41,619.73
2480830,182.11,619.73
2481522,182.64,619.73
2482202,183.08,619.73
2482896,183.52,619.73
2483586,183.96,619.73
2484270,184.39,619.73
2484962,184.83,619.73
2485654,185.19,619.73
2486340,185.45,619.73
2487038,185.80,619.73
2487729,186.15,619.73
2488409,186.50,619.73
2489096,186.77,619.73
2489783,187.12,619.73
2490469,187.47,619.73
2491161,187.82,619.73
2491842,188.17,619.73
2492534,188.70,619.73
2493208,189.23,619.73
2493901,189.76,619.73
2494597,190.46,619.73
2495276,191.25,619.73
2495969,192.13,619.73
2496659,193.01,619.73
2497340,194.24,619.73
2498033,195.56,619.73
2498719,196.87,619.73
2499410,198.63,619.73
2500103,200.57,619.73
2500789,202.76,619.73
2501476,204.96,619.73
2502164,207.69,619.73
2502851,210.94,619.73
2503542,215.24,619.73
2504222,219.99,619.73
2504913,226.49,619.73
2505594,235.99,619.73
2506275,248.47,619.73
2506962,268.86,619.73
2507656,291.88,619.73
2508339,309.99,619.73
2509031,326.87,619.73
2509715,338.55,619.73
2510406,345.85,619.73
2511104,349.80,619.73
2511789,352.97,619.73
2512470,355.43,619.73
2513165,356.75,619.73
2513846,357.71,619.73
2514535,358.59,619.73
2515209,359.38,619.73
2515903,359.82,619.73
2516589,0.26,619.73
2517268,0.70,619.73
2517962,1.14,619.73
2518652,1.67,619.73
2519342,2.11,619.73
2520038,2.64,619.73
2520728,3.25,619.73
2521419,3.96,619.73
2522110,4.57,619.73
2522795,5.62,619.73
2523480,6.68,619.73
2524158,7.82,619.73
2524843,9.05,619.73
2525531,10.37,619.73
2526210,12.48,619.73
2526903,14.85,619.73
2527594,17.58,619.73
2528274,20.48,619.73
2528966,23.38,619.73
2529658,25.93,619.73
2530343,28.39,619.73
2531040,32.87,619.73
2531732,35.33,619.73
2532411,36.65,619.73
2533102,38.41,619.73
2533788,42.28,619.73
2534468,44.30,619.73
2535157,44.91,619.73
2535837,45.97,619.73
2536523,48.08,619.73
2537196,48.52,619.73
2537883,48.34,619.73
2538573,48.43,619.73
2539257,49.66,619.73
2539943,50.54,619.73
2540633,51.42,619.73
2541327,53.00,619.73
2542023,53.61,619.73
2542708,54.32,619.73
2543394,54.93,619.73
2544086,56.51,619.73
2544765,56.78,619.73
2545446,56.87,619.73
2546138,56.51,619.73
2546817,57.22,619.73
2547513,59.15,619.73
2548190,59.94,619.73
2548883,60.47,619.73
2549574,61.17,619.73
2550258,63.54,619.73
2550944,64.25,619.73
2551633,64.60,619.73
2552322,66.62,619.73
2553023,68.99,619.73
2553713,71.89,619.73
2554396,75.15,619.73
2555088,77.34,619.73
2555779,79.89,619.73
2556470,82.18,619.73
2557155,85.96,619.73
2557841,89.30,619.73
2558525,92.11,619.73
2559200,96.42,619.73
2559887,103.36,619.73
2560580,108.28,619.73
2561262,113.12,619.73
2561954,119.88,619.73
2562644,126.04,619.73
2563335,132.10,619.73
2564027,136.32,618.95
2564717,141.94,618.95
2565404,147.30,618.95
2566090,151.52,618.95
2566782,154.07,618.95
2567468,158.47,618.95
2568160,162.33,618.95
2568841,164.88,618.95
2569531,166.99,618.95
2570211,169.28,618.95
2570904,171.39,618.95
2571597,172.44,618.95
2572275,174.20,618.95
2572961,175.61,618.95
2573664,176.75,618.95
2574350,177.63,618.95
2575046,178.68,618.95
2575728,179.82,618.95
2576421,180.70,618.95
2577113,181.23,618.95
2577793,182.02,618.95
2578474,182.64,618.95
2579159,183.16,618.95
2579845,183.60,618.95
2580523,184.13,618.95
2581203,184.57,618.95
2581896,184.83,618.95
2582588,185.19,618.95
2583271,185.45,618.95
2583963,185.80,618.95
2584655,186.15,618.95
2585335,186.50,618.95
2586033,186.86,618.95
2586714,187.21,618.95
2587400,187.47,618.95
2588093,187.82,618.95
2588782,188.17,618.95
2589468,188.70,618.95
2590160,189.23,618.95
2590841,189.76,618.95
2591534,190.46,618.95
2592211,191.25,618.95
2592905,192.22,618.95
2593596,193.10,618.95
2594283,194.33,618.95
2594975,195.64,618.95
2595672,197.23,618.95
2596364,198.63,618.95
2597056,200.57,618.95
2597742,202.85,618.95
2598422,205.14,618.95
2599115,208.04,618.95
2599799,211.29,618.95
2600486,215.68,618.95
2601171,220.69,618.95
2601857,227.55,618.95
2602549,237.39,618.95
2603235,250.14,618.95
2603922,270.79,618.95
2604608,293.91,618.95
2605295,314.56,618.95
2605981,328.27,618.95
2606674,339.61,618.95
2607365,346.64,618.95
2608058,350.86,618.95
2608743,353.41,618.95
2609423,355.52,618.95
2610111,356.92,618.95
2610790,357.89,618.95
2611477,358.77,618.95
2612165,359.47,618.95
2612852,359.91,618.95
2613541,0.26,618.95
2614219,0.79,618.95
2614914,1.32,618.95
2615604,1.67,618.95
2616289,2.02,618.95
2616979,2.55,618.95
2617664,3.25,618.95
2618344,3.96,618.95
2619034,4.57,618.95
2619713,5.36,618.95
2620402,6.68,618.95
2621088,7.91,618.95
2621776,9.14,618.95
2622462,10.63,618.95
2623152,12.92,618.95
2623837,14.77,618.95
2624523,16.44,618.95
