3,-600.59
24438955,27.60,-600.59
24439638,24.43,-600.59
24440331,21.71,-600.59
24441023,18.72,-600.59
24441715,16.26,-600.59
24442400,13.97,-600.59
24443099,12.04,-600.59
24443782,10.11,-600.59
24444472,8.26,-600.59
24445176,6.42,-600.59
24445866,4.39,-600.59
24446553,2.81,-600.59
24447247,1.05,-600.59
24447932,359.12,-600.59
24448630,357.10,-600.59
24449328,355.52,-600.59
24450021,353.76,-600.59
24450714,351.83,-600.59
24451401,349.80,-600.59
24452099,348.31,-600.59
24452785,346.64,-600.68
24453480,344.79,-600.68
24454180,342.95,-600.68
24454879,341.28,-600.68
24455578,339.87,-600.68
24456264,338.03,-600.68
24456957,336.09,-600.68
24457640,334.42,-600.68
24458333,332.93,-600.68
24459029,331.00,-600.68
24459720,329.06,-600.68
24460407,327.30,-600.68
24461112,325.81,-600.68
24461805,323.79,-600.68
24462490,321.77,-600.68
24463187,320.01,-600.68
24463884,318.16,-600.68
24464583,316.32,-600.68
24465267,314.30,-600.68
24465960,312.36,-600.68
24466652,310.34,-600.68
24467353,308.14,-600.68
24468047,306.30,-600.68
24468745,304.19,-600.68
24469431,301.99,-600.68
24470136,299.53,-600.68
24470834,297.25,-600.68
24471528,295.31,-600.68
24472221,292.85,-600.68
24472907,290.21,-600.68
24473609,287.75,-600.68
24474305,285.29,-600.68
24474998,282.92,-600.68
24475697,280.02,-600.68
24476383,277.47,-600.68
24477081,274.83,-600.68
24477769,272.46,-600.68
24478458,269.38,-600.68
24479148,266.66,-600.68
24479849,263.94,-600.68
24480542,261.04,-600.68
24481240,258.40,-600.68
24481938,255.59,-600.68
24482630,252.77,-600.68
24483323,249.61,-600.68
24484016,246.88,-600.68
24484709,244.07,-600.68
24485395,241.08,-600.68
24486094,237.92,-600.68
24486780,234.84,-600.68
24487476,232.47,-600.68
24488170,229.57,-600.68
24488869,226.32,-600.68
24489567,223.33,-600.68
24490259,220.61,-600.68
24490952,218.23,-600.68
24491645,215.16,-600.68
24492337,212.26,-600.68
24493036,209.62,-600.68
24493730,207.33,-600.68
24494410,204.43,-600.68
24495114,201.71,-600.68
24495808,199.25,-600.68
24496502,196.61,-600.68
24497198,194.33,-600.68
24497896,191.87,-600.68
24498589,189.49,-600.68
24499282,186.94,-600.68
24499976,184.48,-600.68
24500679,182.29,-600.68
24501372,180.35,-600.68
24502072,178.07,-600.68
24502769,175.69,-600.68
24503463,173.67,-600.68
24504150,172.00,-600.68
24504849,169.89,-600.68
24505549,167.78,-600.68
24506245,165.94,-600.68
24506942,164.18,-600.68
24507640,162.25,-600.68
