ESP-ROM:esp32c3-api1-20210207
.03,0.00
11631214,96.59,0.00
11631915,96.33,0.00
11632616,95.62,0.00
11633318,95.27,0.00
11634025,94.92,0.00
11634727,94.31,0.00
11635428,94.04,0.00
11636135,94.31,0.00
11636836,94.75,0.00
11637538,95.71,0.00
11638239,96.50,0.00
11638940,96.94,0.00
11639650,97.21,0.00
11640327,98.26,0.00
11641021,100.55,0.00
11641700,102.04,0.00
11642391,104.15,0.00
11643083,106.61,0.00
11643764,109.95,0.00
11644452,112.41,0.00
11645142,115.66,0.00
11645831,118.74,0.00
11646514,121.99,0.00
11647202,125.86,0.00
11647874,129.46,0.00
11648565,132.45,0.00
11649242,136.14,0.00
11649925,140.01,0.00
11650602,142.65,0.00
11651285,145.63,0.00
11651974,148.80,0.00
11652657,151.17,0.00
11653347,153.19,0.00
11654042,155.39,0.00
11654726,157.24,0.00
11655410,158.64,0.00
11656104,159.96,0.00
11656793,161.10,0.00
11657470,162.07,0.00
11658159,162.86,0.00
11658848,163.65,0.00
11659536,164.36,0.00
11660220,164.88,0.00
11660903,165.41,0.00
11661592,165.94,0.00
11662275,166.46,0.00
11662964,166.90,0.00
11663652,167.34,0.00
11664345,167.87,0.00
11665046,168.40,0.00
11665724,168.93,0.00
11666413,169.45,0.00
11667102,169.98,0.00
11667785,170.42,0.00
11668469,170.95,0.00
11669158,171.39,0.00
11669842,171.65,0.00
11670520,172.18,0.00
11671207,172.71,0.00
11671891,172.97,0.00
11672583,173.23,0.00
11673267,173.41,0.00
11673954,173.67,0.00
11674631,173.85,0.00
11675322,173.85,0.00
11675993,173.67,0.00
11676685,173.50,0.00
11677367,173.41,0.00
11678056,173.23,0.00
11678734,172.79,0.00
11679427,172.44,0.00
11680110,172.09,0.00
11680784,171.65,0.00
11681473,171.04,0.00
11682162,170.42,0.00
11682846,169.98,0.00
11683529,169.37,0.00
11684219,168.57,0.00
11684897,167.87,0.00
11685584,167.17,0.00
11686262,166.29,0.00
11686951,165.41,0.00
11687626,164.71,0.00
11688309,163.74,0.00
11688986,162.77,0.00
11689664,161.81,0.00
11690349,160.75,0.00
11691039,159.87,0.00
11691714,158.29,0.00
11692398,156.80,0.00
11693095,155.74,0.00
11693784,155.30,0.00
11694468,153.98,0.00
11695152,152.40,0.00
11695838,151.44,0.00
11696516,150.21,0.00
11697200,148.89,0.00
11697877,147.39,0.00
11698563,145.81,0.00
11699240,144.40,0.00
11699918,143.61,0.00
11700599,142.65,0.00
11701271,142.38,0.00
11701961,141.06,0.00
11702638,138.87,0.00
11703327,137.90,0.00
11704004,137.02,0.00
11704694,135.09,0.00
11705382,132.98,0.00
11706072,132.36,0.00
11706761,131.22,0.00
11707450,130.52,0.00
11708127,130.17,0.00
11708813,128.58,0.00
11709499,127.71,0.00
11710182,126.91,0.00
11710860,126.21,0.00
11711538,124.28,0.00
11712218,123.40,0.00
11712895,122.52,0.00
11713579,121.38,0.00
11714268,120.67,0.00
11714957,119.71,0.00
11715634,119.27,0.00
11716312,118.30,0.00
11716983,117.07,0.00
11717660,115.66,0.00
11718345,114.35,0.00
11719035,113.73,0.00
11719719,113.12,0.00
11720406,112.24,0.00
11721101,110.65,0.00
11721790,109.25,0.00
11722465,107.58,0.00
11723150,106.70,0.00
11723842,105.47,0.00
11724530,103.97,0.00
11725219,103.36,0.00
11725909,102.13,0.00
11726590,100.90,0.00
11727267,99.84,0.00
11727948,99.58,0.00
11728632,99.05,0.00
11729319,98.53,0.00
11729996,97.73,0.00
11730687,97.12,0.00
11731363,96.15,0.00
11732053,95.62,0.00
11732728,94.75,0.00
11733412,94.92,0.00
11734106,94.83,0.00
11734789,94.31,0.00
11735475,94.66,0.00
11736164,95.45,0.00
11736847,95.62,0.00
11737524,95.71,0.00
11738210,96.50,0.00
11738901,97.91,0.00
11739583,98.79,0.00
11740261,99.93,0.00
11740953,101.25,0.00
11741634,103.62,0.00
11742319,106.00,0.00
11742992,109.07,0.00
11743669,111.62,0.00
11744347,114.79,0.00
11745042,118.04,0.00
11745726,121.90,0.00
11746409,125.51,0.00
11747099,129.11,0.00
11747783,132.45,0.00
11748464,135.44,0.00
11749148,139.48,0.00
11749837,142.73,0.00
11750526,145.46,0.00
11751210,148.36,0.00
11751903,151.08,0.00
11752583,153.28,0.00
11753267,154.95,0.00
11753954,156.80,0.00
11754634,158.47,0.00
11755324,159.79,0.00
11755996,160.93,0.00
11756674,161.89,0.00
11757359,162.77,0.00
11758043,163.56,0.00
11758727,164.18,0.00
11759405,164.71,0.00
11760095,165.32,0.00
11760779,165.94,0.00
11761460,166.38,0.00
11762151,166.99,0.00
11762839,167.43,0.00
11763528,167.87,0.00
11764212,168.31,0.00
11764890,168.84,0.00
11765574,169.37,0.00
11766251,169.89,0.00
11766929,170.42,0.00
11767610,170.86,0.00
11768293,171.30,0.00
11768970,171.74,0.00
11769654,172.09,0.00
11770337,172.53,0.00
11771027,172.97,0.00
11771705,173.14,0.00
11772385,173.41,0.00
11773077,173.67,0.00
11773766,173.76,0.00
11774449,173.85,0.00
11775148,173.67,0.00
11775836,173.58,0.00
11776508,173.41,0.00
11777193,173.14,0.00
11777870,172.88,0.00
11778546,172.44,0.00
11779229,172.00,0.00
11779912,171.65,0.00
11780593,171.12,0.00
11781272,170.60,0.00
11781955,170.16,0.00
11782627,169.63,0.00
11783305,168.75,0.00
11783989,168.05,0.00
11784666,167.34,0.00
11785356,166.55,0.00
11786052,165.59,0.00
11786730,164.71,0.00
11787419,163.65,0.00
11788114,162.77,0.00
11788798,162.07,0.00
11789478,161.19,0.00
11790162,160.14,0.00
11790849,159.17,0.00
11791526,157.94,0.00
11792217,156.45,0.00
11792898,154.86,0.00
11793582,153.63,0.00
11794260,152.31,0.00
11794949,151.44,0.00
11795621,150.21,0.00
11796299,149.06,0.00
11796976,147.83,0.00
11797654,146.34,0.00
11798340,145.90,0.00
11799029,144.84,0.00
11799709,142.91,0.00
11800392,141.59,0.00
11801090,140.98,0.00
11801774,139.75,0.00
11802458,138.25,0.00
11803148,137.11,0.00
11803837,135.70,0.00
11804507,133.59,0.00
11805199,132.89,0.00
11805873,132.19,0.00
11806552,131.22,0.00
11807235,130.08,0.00
11807917,128.67,0.00
11808589,126.83,0.00
11809267,125.86,0.00
11809960,124.80,0.00
